빅헤드 (bighead033)	대규모 노동 드가자	시청자 479명	Minecraft	2022-09-27 17:34:10.051387
세아스토리 (sea_vtuber)	방제 정하기 모듈이 작동하지 않습니다.	시청자 473명	Just Chatting	2022-09-27 17:34:10.051387
42번째에서 오류				 2022-09-27 17:34:10.051387
43번째에서 오류				 2022-09-27 17:34:10.051387
청묘 (i_am_bloooo)	유니온 하고싶어요	시청자 419명	MapleStory	2022-09-27 17:34:10.051387
우사기인뎅 (ny991017)	study with me / 15:00- 19:00	시청자 414명	Just Chatting	2022-09-27 17:34:10.051387
ato1004fd	D	시청자 408명	아트	2022-09-27 17:34:10.051387
던ㅤ (dawnhs)	ㅡㅅㅡ;;	시청자 403명	League of Legends	2022-09-27 17:34:10.051387
나기상 (mingnagi)	와 엉덩겜 (테크니컬 테스트 당첨됨)	시청자 401명	Nikke: The Goddess of Victory	2022-09-27 17:34:10.051387
김달걀 (itsmejanna)	로라뀌 접근금지 (w 도라찌)	시청자 399명	League of Legends	2022-09-27 17:34:10.051387
50번째에서 오류				 2022-09-27 17:34:10.051387
침착맨 (zilioner)	영화평론가 이동진 님 초대석 (구독후원음성X)	시청자 2만명	Just Chatting	2022-09-27 17:35:04.942547
우왁굳 (woowakgood)	축구왕 왁돌이	시청자 9,947명	FIFA 23	2022-09-27 17:35:04.942547
비챤_ (viichan6)	6시) VRC 풀트뱅 ~!	시청자 7,989명	Just Chatting	2022-09-27 17:35:04.942547
랄로 (aba4647)	와끼얏호우	시청자 6,321명	World of Warcraft	2022-09-27 17:35:04.942547
러너교 (runner0608)	안녕하세요	시청자 4,906명	Just Chatting	2022-09-27 17:35:04.942547
김도 (kimdoe)	서브노티카 빌로우제로	시청자 4,028명	Subnautica: Below Zero	2022-09-27 17:35:04.942547
서새봄냥 (saddummy)	서새봄] 로크홀라섭) 리치왕의 분노 클래식 OPEN 같이 달려요~	시청자 3,868명	World of Warcraft	2022-09-27 17:35:04.942547
홍방장 (game2eye)	홍 전파사 시청자 그래픽카드 보수작업 해주기	시청자 3,427명	Just Chatting	2022-09-27 17:35:04.942547
앰비션_ (lol_ambition)	24연승시 점수복구	시청자 2,610명	League of Legends	2022-09-27 17:35:04.942547
피닉스박1 (xkwhd)	발악귀	시청자 2,252명	VALORANT	2022-09-27 17:35:04.942547
소풍왔니 (yumyumyu77)	리치왕의 재붕노 첫 시작! 방가방가소붕	시청자 1,744명	World of Warcraft	2022-09-27 17:35:04.942547
중력 (jungryeok)	중력팀 비방연습후 깨달음..	시청자 1,626명	Just Chatting	2022-09-27 17:35:04.942547
김뿡_ (bbonge_)	뿡) 탑 호디르	시청자 1,457명	League of Legends	2022-09-27 17:35:04.942547
이초홍 (h920103)	@_@	시청자 1,428명	Just Chatting	2022-09-27 17:35:04.942547
두니주니 (dunizuni)	ㅎㅇ	시청자 1,248명	Teamfight Tactics	2022-09-27 17:35:04.942547
히렌히 (hyren7)	리치킹	시청자 1,176명	World of Warcraft	2022-09-27 17:35:04.942547
스틸로 (steelohs)	파파존스 피자 먹방	시청자 1,124명	Just Chatting	2022-09-27 17:35:04.942547
Rb0f	DRX Rb / 휴가	시청자 1,060명	VALORANT	2022-09-27 17:35:04.942547
박삐삐__ (smpk9604)	삐하~	시청자 1,023명	Just Chatting	2022-09-27 17:35:04.942547
포셔 (portialyn)	-로- 조금 하다가 끔	시청자 1,014명	Lost Ark	2022-09-27 17:35:04.942547
21번째에서 오류				 2022-09-27 17:35:04.942547
22번째에서 오류				 2022-09-27 17:35:04.942547
헤징 (hejin0_0)	롤체륑	시청자 829명	Teamfight Tactics	2022-09-27 17:35:04.942547
찬우정 (jcw970)	(진심)챌린저 달리기 2일차	시청자 746명	League of Legends	2022-09-27 17:35:04.942547
푸린_ (rngudwnswkd)	강지팀 VS 너불팀 스크림!	시청자 746명	Just Chatting	2022-09-27 17:35:04.942547
설백_ (snow_hite)	[설백] 오른쪽 아래 !편집자	시청자 729명	Just Chatting	2022-09-27 17:35:04.942547
캡틴잭 (hwkang2)	오르골 8개 모아서 스탯 50 받는 극한의 수직충	시청자 704명	Lost Ark	2022-09-27 17:35:04.942547
인섹_ (insec13)	대기열180만갓겜	시청자 612명	League of Legends	2022-09-27 17:35:04.942547
배돈 (baedony)	리치왕의분노 태어나서 처음 합니다	시청자 606명	World of Warcraft	2022-09-27 17:35:04.942547
아리스마나 (alicemana_v)	하이루	시청자 598명	Just Chatting	2022-09-27 17:35:04.942547
크라니쉬 (kranichhs)	젠지 하스스톤 프로그램 !부트캠프 / 내일 나스리아 미니팩 출시	시청자 613명	Hearthstone	2022-09-27 17:35:04.942547
액시스마이콜 (sn400ja)	정글이 합류해야 하는게임은 진게임이다	시청자 574명	League of Legends	2022-09-27 17:35:04.942547
김하선 (kimhasun)	어서와 낮방은 처음이지?	시청자 541명	Just Chatting	2022-09-27 17:35:04.942547
34번째에서 오류				 2022-09-27 17:35:04.942547
칸데르니아 (jmjdoc)	발키리 엘리시움	시청자 529명	Valkyrie Elysium	2022-09-27 17:35:04.942547
철면수심 (109ace)	허준이 되어 사람 살리기	시청자 520명	Bio Inc. Redemption	2022-09-27 17:35:04.942547
설소영 (mobeom17)	다크악셀 없이 살기 4일차 (살만함)	시청자 510명	Lost Ark	2022-09-27 17:35:04.942547
38번째에서 오류				 2022-09-27 17:35:04.942547
진격캐넌 (xorhkd321)	이세계 택티컬대비 신궁 200만들기	시청자 483명	MapleStory	2022-09-27 17:35:04.942547
빅헤드 (bighead033)	대규모 노동 드가자	시청자 479명	Minecraft	2022-09-27 17:35:04.942547
세아스토리 (sea_vtuber)	방제 정하기 모듈이 작동하지 않습니다.	시청자 473명	Just Chatting	2022-09-27 17:35:04.942547
우사기인뎅 (ny991017)	study with me / 15:00- 19:00	시청자 450명	Just Chatting	2022-09-27 17:35:04.942547
43번째에서 오류				 2022-09-27 17:35:04.942547
44번째에서 오류				 2022-09-27 17:35:04.942547
청묘 (i_am_bloooo)	유니온 하고싶어요	시청자 419명	MapleStory	2022-09-27 17:35:04.942547
ato1004fd	D	시청자 408명	아트	2022-09-27 17:35:04.942547
던ㅤ (dawnhs)	ㅡㅅㅡ;;	시청자 403명	League of Legends	2022-09-27 17:35:04.942547
나기상 (mingnagi)	와 엉덩겜 (테크니컬 테스트 당첨됨)	시청자 401명	Nikke: The Goddess of Victory	2022-09-27 17:35:04.942547
49번째에서 오류				 2022-09-27 17:35:04.942547
천양 (chunyangkr)	[V] 한국 최초 음바페 뽑은 사람	시청자 382명	FIFA 23	2022-09-27 17:35:04.942547
침착맨 (zilioner)	영화평론가 이동진 님 초대석 (구독후원음성X)	시청자 2만명	Just Chatting	2022-09-27 17:40:05.587574
우왁굳 (woowakgood)	축구왕 왁돌이	시청자 9,841명	FIFA 23	2022-09-27 17:40:05.587574
비챤_ (viichan6)	6시) VRC 풀트뱅 ~!	시청자 7,989명	Just Chatting	2022-09-27 17:40:05.587574
랄로 (aba4647)	와끼얏호우	시청자 6,439명	World of Warcraft	2022-09-27 17:40:05.587574
러너교 (runner0608)	안녕하세요	시청자 4,846명	Just Chatting	2022-09-27 17:40:05.587574
서새봄냥 (saddummy)	서새봄] 로크홀라섭) 리치왕의 분노 클래식 OPEN 같이 달려요~	시청자 4,096명	World of Warcraft	2022-09-27 17:40:05.587574
김도 (kimdoe)	서브노티카 빌로우제로	시청자 4,095명	Subnautica: Below Zero	2022-09-27 17:40:05.587574
홍방장 (game2eye)	홍 전파사 시청자 그래픽카드 보수작업 해주기	시청자 3,347명	Just Chatting	2022-09-27 17:40:05.587574
앰비션_ (lol_ambition)	24연승시 점수복구	시청자 2,645명	League of Legends	2022-09-27 17:40:05.587574
소풍왔니 (yumyumyu77)	리치왕의 재붕노 첫 시작! 방가방가소붕	시청자 1,831명	World of Warcraft	2022-09-27 17:40:05.587574
중력 (jungryeok)	중력팀 비방연습후 깨달음..	시청자 1,528명	Just Chatting	2022-09-27 17:40:05.587574
김뿡_ (bbonge_)	뿡) 탑 호디르	시청자 1,476명	League of Legends	2022-09-27 17:40:05.587574
이초홍 (h920103)	@_@	시청자 1,326명	Just Chatting	2022-09-27 17:40:05.587574
두니주니 (dunizuni)	ㅎㅇ	시청자 1,276명	Teamfight Tactics	2022-09-27 17:40:05.587574
스틸로 (steelohs)	파파존스 피자 먹방	시청자 1,154명	Just Chatting	2022-09-27 17:40:05.587574
히렌히 (hyren7)	리치킹	시청자 1,143명	World of Warcraft	2022-09-27 17:40:05.587574
Rb0f	DRX Rb / 휴가	시청자 1,142명	VALORANT	2022-09-27 17:40:05.587574
포셔 (portialyn)	-로- 조금 하다가 끔	시청자 1,073명	Lost Ark	2022-09-27 17:40:05.587574
푸린_ (rngudwnswkd)	저녁6시 강지팀 VS 너불팀 스크림!	시청자 1,067명	Just Chatting	2022-09-27 17:40:05.587574
박삐삐__ (smpk9604)	삐하~	시청자 1,052명	Just Chatting	2022-09-27 17:40:05.587574
21번째에서 오류				 2022-09-27 17:40:05.587574
22번째에서 오류				 2022-09-27 17:40:05.587574
찬우정 (jcw970)	(진심)챌린저 달리기 2일차	시청자 803명	League of Legends	2022-09-27 17:40:05.587574
헤징 (hejin0_0)	롤체륑	시청자 769명	Teamfight Tactics	2022-09-27 17:40:05.587574
설백_ (snow_hite)	[설백] 오른쪽 아래 !편집자	시청자 729명	Just Chatting	2022-09-27 17:40:05.587574
캡틴잭 (hwkang2)	오르골 8개 모아서 스탯 50 받는 극한의 수직충	시청자 705명	Lost Ark	2022-09-27 17:40:05.587574
